State,Total Population 2021,Population Growth or Decline 2010 to 2021,Households 2020,Labor Force (persons) Ann. Avg. 2021,Unemployment Rate Ann. Avg. 2021,Per Capita Personal Income 2021,Median Household Income 2020,Poverty Rate 2020,High School Diploma or More - Pct. of Adults 25+ 2020,Bachelor's Degree or More - Pct. of Adults 25+ 2020,Covered Employment 2021,Avg Wage per Job 2021,Manufacturing - Pct. All Jobs in County 2021,Manufacturing - Avg Wage per Job 2021,Transportation and Warehousing - Pct. All Jobs in County 2021,Transportation and Warehousing - Avg Wage per Job 2021,"Health Care, Social Assist. - Pct. All Jobs in County 2021","Health Care, Social Assist. - Avg Wage per Job 2021",Finance and Insurance - Pct. All Jobs in County 2021,Finance and Insurance - Avg Wage per Job 2021,Population in 2021,Population in 2010,Population in 2000,Population in 1990,Population in 1980,Population change 2000 to 2010,Population change 1990 to 2010,Population change 1980 to 2010,Net Domestic Migration,Net International Migration,Natural Increase (births minus deaths),Births,Deaths,Preschool (0 to 4),School Age (5 to 17),College Age (18 to 24),Young Adult (25 to 44),Older Adult (45 to 64),Older (65 plus),Median Age,American Ind. or Alaskan Native Alone,Asian Alone,Black Alone,Native Hawaiian and Other Pac. Isl. Alone,White Alone,Two or More Race Groups,Non-Hispanic or Latino,Hispanic or Latino,Puerto Rican,Other,"White, Not Hispanic (reporting white alone)",Hispanic,Mexican,Cuban,Total Households,Family Households,Married with Children,Married without Children,Single Parents,Other,Non-Family Households,Living Alone,Average Household Size,Total Housing Units (ACS estimate),Occupied Units,Owner Occupied,Renter Occupied,Vacant,For Seasonal or Recreational Use,Total Permits Filed,Single Family Permits,Two Family Permits,Three and Four Family Permits,Five Families and More Permits,Median Household Income 2020,Median Household Income 2000,Percent Change 2000 to 2020,2021,2011,2001,1991,10-Year pct. Change,20-Year pct. Change,30-Year pct. Change,Total Earnings by Place of Work,Minus: Contributions for Government Social Insurance,Personal Contributions for Government Social Insurance,Employer Contributions for Government Social Insurance,Plus: Adjustment for Residence,Net Earnings by Place of Residence,"Plus: Dividends, Rent, Interest",Plus: Transfer Payments,Equals: Personal Income by Place of Residence,Poverty Rate in 2020,Poverty Rate for Children under 18 in 2020,Total Labor Force,Labor Force 5-Year Pct. Chg,Labor Force 10-Year Pct. Chg,Employed,Employed 5-Year Pct. Chg,Employed 10-Year Pct. Chg,Unemployed,Unemployed 5-Year Pct. Chg,Unemployed 10-Year Pct. Chg,Unemployment Rate,Unemployment Rate 5-Year Pct. Chg,Unemployment Rate 10-Year Pct. Chg,Total Population 25 and Older,Less than 9th Grade,"9th to 12th, No Diploma",High School Graduate (includes equiv.),"Some College, No Degree",Associate Degree,Bachelor's Degree,"Graduate, Professional or Doctorate Degree"
New Mexico,"2,115,877",2.80%,"792,755","943,356",6.8,"$50,311 ","$52,285 ",16.8,86.50%,28.10%,"796,691","$52,522 ",3.50%,"$58,805 ",3.20%,"$55,612 ",17.70%,"$50,154 ",2.80%,"$74,567 ","2,115,877","2,059,179","1,820,802","1,519,933","1,303,303",13.10%,35.50%,58.00%,"-2,186","1,467","-1,086","21,996","23,082","122,993","360,461","198,269","537,069","513,329","364,900",38.1,"195,166","33,695","43,476","1,853","1,467,849","170,302","1,065,233","1,031,788","9,934","348,187","769,139","1,031,788","668,593","5,074","792,755","496,734","118,057","222,679","81,426","74,572","296,021","246,025",2.5,"943,568","792,755","539,082","253,673","150,813","48,224","7,753","5,465",58,27,"2,203","$52,285 ","$34,487 ",51.60%,"$50,311 ","$35,045 ","$24,601 ","$16,034 ",43.60%,104.50%,213.80%,"$62,704,247 ","$7,706,607 ","$4,279,538 ","$3,427,069 ","$157,210 ","$55,154,850 ","$18,561,290 ","$32,735,025 ","$106,451,165 ",16.8,21.6,"943,356",-0.10%,2.00%,"879,329",-0.10%,2.50%,"64,027",0.50%,-4.40%,6.8,1.50%,-5.60%,"1,415,298","79,336","111,740","370,125","331,091","124,718","223,875","174,413"
New York,"19,835,913",2.40%,"7,417,224","9,441,458",6.9,"$76,837 ","$73,354 ",12.7,87.20%,37.50%,"8,817,105","$88,035 ",4.60%,"$75,060 ",4.10%,"$63,207 ",19.10%,"$60,578 ",5.80%,"$285,844 ","19,835,913","19,378,102","18,996,959","18,002,855","17,558,165",2.00%,7.60%,10.40%,"-352,185","18,307","18,503","210,640","192,137","1,140,669","2,930,473","1,794,550","5,294,315","5,133,140","3,221,702",39,"76,535","1,674,216","3,002,401","9,376","12,160,045","921,553","15,794,142","3,720,707","1,078,084","2,099,857","10,766,297","3,720,707","464,480","78,286","7,417,224","4,670,153","1,282,898","1,977,000","616,846","793,409","2,747,071","2,208,809",2.5,"8,362,971","7,417,224","4,014,516","3,402,708","945,747","344,593","40,135","11,099",908,618,"27,510","$73,354 ","$41,763 ",75.60%,"$76,837 ","$50,904 ","$37,283 ","$23,868 ",50.90%,106.10%,221.90%,"$1,121,341,126 ","$113,618,024 ","$59,790,836 ","$53,827,188 ","($100,892,491)","$906,830,611 ","$285,407,979 ","$331,889,939 ","$1,524,128,529 ",12.7,16.7,"9,441,458",-0.90%,-1.00%,"8,786,280",-3.10%,0.50%,"655,178",41.20%,-17.70%,6.9,40.80%,-16.90%,"13,649,157","820,567","923,323","3,474,389","2,109,389","1,208,697","2,854,930","2,257,862"
North Carolina,"10,551,162",10.70%,"4,031,592","4,959,672",4.8,"$56,173 ","$59,616 ",12.9,88.50%,32.00%,"4,509,160","$59,594 ",10.30%,"$65,903 ",4.40%,"$51,429 ",13.90%,"$59,007 ",4.60%,"$115,548 ","10,551,162","9,535,483","8,080,253","6,656,987","5,880,096",18.00%,43.20%,62.20%,"88,673","6,756","-1,698","114,011","115,709","605,299","1,696,297","987,858","2,695,416","2,713,003","1,688,354",38.9,"120,272","308,958","2,217,522","7,368","7,019,443","378,369","9,395,176","991,051","112,634","305,947","6,503,292","991,051","542,666","29,804","4,031,592","2,625,055","722,573","1,208,466","361,595","332,421","1,406,537","1,158,923",2.5,"4,687,122","4,031,592","2,649,849","1,381,743","655,530","208,292","94,874","68,636",542,238,"25,458","$59,616 ","$38,889 ",53.30%,"$56,173 ","$36,902 ","$27,838 ","$17,967 ",52.20%,101.80%,212.60%,"$399,284,734 ","$45,331,490 ","$25,140,118 ","$20,191,372 ","($2,494,553)","$351,458,691 ","$99,262,212 ","$141,974,136 ","$592,695,039 ",12.9,17.9,"4,959,672",2.40%,6.50%,"4,721,198",2.70%,12.90%,"238,474",-3.20%,-50.10%,4.8,-5.90%,-53.40%,"7,096,773","301,823","513,393","1,806,403","1,500,016","701,248","1,448,972","824,918"
North Dakota,"774,948",15.20%,"320,873","406,187",3.7,"$64,524 ","$64,289 ",10.2,93.10%,30.70%,"400,471","$56,851 ",6.50%,"$62,819 ",4.50%,"$62,771 ",16.70%,"$59,509 ",4.30%,"$78,134 ","774,948","672,591","641,298","637,364","652,717",4.90%,5.50%,3.00%,"-6,460",294,"2,210","9,798","7,588","53,408","124,621","84,840","206,040","175,079","116,406",35.2,"39,165","11,979","23,959","1,004","651,470","23,942","730,069","30,325","3,507","7,070","636,284","30,325","19,558",190,"320,873","189,465","60,530","92,121","23,683","13,131","131,408","104,366",2.2,"376,597","320,873","200,671","120,202","55,724","15,104","3,600","2,266",258,8,"1,068","$64,289 ","$35,636 ",80.40%,"$64,524 ","$49,000 ","$26,541 ","$16,340 ",31.70%,143.10%,294.90%,"$36,463,231 ","$4,056,508 ","$2,148,583 ","$1,907,925 ","($1,998,079)","$30,408,644 ","$10,507,967 ","$9,086,249 ","$50,002,860 ",10.2,10.9,"406,187",-1.40%,4.90%,"391,255",-1.90%,4.50%,"14,932",16.90%,15.30%,3.7,19.40%,12.10%,"497,525","13,286","21,022","129,837","110,481","70,246","109,962","42,691"
Ohio,"11,780,017",2.10%,"4,717,226","5,736,882",5.1,"$56,879 ","$60,360 ",12.6,90.80%,28.90%,"5,246,891","$58,350 ",12.70%,"$66,945 ",5.20%,"$56,138 ",16.50%,"$56,325 ",4.40%,"$93,619 ","11,780,017","11,536,504","11,363,136","10,861,837","10,797,604",1.50%,6.20%,6.80%,"-3,128","7,084","-15,811","128,595","144,406","692,983","1,901,005","1,066,321","2,935,087","3,089,258","1,990,621",39.5,"20,442","268,527","1,442,655","3,907","9,394,878","415,149","11,215,336","459,939","131,458","111,794","9,141,370","459,939","206,126","10,561","4,717,226","2,952,151","781,238","1,364,367","440,429","366,117","1,765,075","1,457,645",2.4,"5,217,090","4,717,226","3,128,172","1,589,054","499,864","59,067","30,418","20,506",376,607,"8,929","$60,360 ","$42,054 ",43.50%,"$56,879 ","$39,245 ","$29,323 ","$18,973 ",44.90%,94.00%,199.80%,"$446,781,173 ","$48,637,097 ","$26,441,293 ","$22,195,804 ","($2,073,164)","$396,070,912 ","$109,541,116 ","$164,423,535 ","$670,035,563 ",12.6,16.6,"5,736,882",-0.30%,-0.60%,"5,441,879",-0.40%,3.40%,"295,003",1.60%,-42.10%,5.1,2.00%,-42.00%,"8,014,966","217,670","521,100","2,629,870","1,628,291","702,496","1,438,177","877,362"
Oklahoma,"3,986,639",6.30%,"1,493,569","1,854,234",3.8,"$53,870 ","$54,512 ",14.3,88.60%,26.10%,"1,571,736","$51,317 ",8.30%,"$62,667 ",4.70%,"$51,006 ",14.00%,"$53,600 ",3.50%,"$74,010 ","3,986,639","3,751,351","3,453,891","3,147,105","3,025,487",8.60%,19.20%,24.00%,"24,687","1,523","-1,870","47,125","48,995","259,003","697,367","381,292","1,037,992","954,493","619,195",36.7,"303,791","87,033","287,856","6,418","2,809,793","344,837","3,517,875","431,467","14,836","67,293","2,563,119","431,467","346,321","3,017","1,493,569","975,207","281,545","436,335","140,573","116,754","518,362","432,660",2.5,"1,740,972","1,493,569","986,555","507,014","247,403","37,881","14,733","13,315",486,81,851,"$54,512 ","$33,417 ",63.10%,"$53,870 ","$39,800 ","$25,608 ","$16,589 ",35.40%,110.40%,224.70%,"$136,833,849 ","$14,472,527 ","$7,964,614 ","$6,507,913 ","$645,489 ","$123,006,811 ","$39,565,305 ","$52,188,560 ","$214,760,676 ",14.3,18.6,"1,854,234",1.40%,4.90%,"1,783,080",2.30%,6.90%,"71,154",-16.10%,-28.00%,3.8,-17.40%,-32.10%,"2,611,680","101,338","197,694","812,618","602,288","214,840","448,366","234,536"
Oregon,"4,246,155",10.80%,"1,642,579","2,148,333",5.2,"$61,596 ","$67,832 ",11,91.10%,34.40%,"1,881,039","$63,989 ",9.90%,"$78,434 ",4.50%,"$56,012 ",15.40%,"$60,035 ",3.00%,"$101,324 ","4,246,155","3,831,074","3,430,739","2,858,547","2,633,156",11.70%,34.00%,45.50%,"8,080","1,101","-4,715","39,877","44,592","228,314","638,762","364,440","1,154,049","1,055,849","734,932",39.5,"45,683","187,801","79,117","16,445","3,449,081","257,972","3,624,067","552,279","14,501","84,606","3,128,494","552,279","445,523","7,649","1,642,579","1,034,877","293,251","500,327","127,663","113,636","607,702","449,272",2.4,"1,788,855","1,642,579","1,031,006","611,573","146,276","59,709","21,916","13,185",424,250,"8,057","$67,832 ","$41,662 ",62.80%,"$61,596 ","$37,596 ","$28,829 ","$18,670 ",63.80%,113.70%,229.90%,"$178,777,570 ","$21,476,533 ","$11,137,024 ","$10,339,509 ","($5,991,994)","$151,309,043 ","$46,810,409 ","$63,427,056 ","$261,546,508 ",11,12.2,"2,148,333",5.20%,7.60%,"2,036,138",4.60%,12.90%,"112,195",16.00%,-41.50%,5.2,10.60%,-45.80%,"2,944,830","101,405","159,380","667,341","737,552","266,108","627,360","385,684"
Pennsylvania,"12,964,056",2.10%,"5,106,601","6,406,185",6.3,"$64,279 ","$64,898 ",10.9,91.00%,32.30%,"5,650,324","$64,697 ",9.60%,"$69,382 ",5.80%,"$54,663 ",18.50%,"$58,599 ",4.70%,"$110,715 ","12,964,056","12,702,379","12,283,881","11,895,604","11,864,720",3.40%,6.80%,7.10%,"-3,194","7,467","-30,878","128,351","159,229","702,231","1,947,351","1,155,305","3,196,580","3,458,314","2,335,104",40.9,"20,798","449,320","1,419,582","4,268","10,155,004","433,025","11,823,072","971,813","468,114","322,177","9,685,118","971,813","158,266","23,256","5,106,601","3,254,545","862,116","1,560,944","415,946","415,539","1,852,056","1,521,428",2.4,"5,713,345","5,106,601","3,522,269","1,584,332","606,744","169,072","47,894","18,764","1,118","1,422","26,590","$64,898 ","$41,419 ",56.70%,"$64,279 ","$44,211 ","$31,634 ","$20,244 ",45.40%,103.20%,217.50%,"$536,585,068 ","$59,445,120 ","$32,479,737 ","$26,965,383 ","$13,359,504 ","$490,499,452 ","$134,916,974 ","$207,898,040 ","$833,314,466 ",10.9,14.3,"6,406,185",-0.80%,0.40%,"5,999,442",-1.90%,1.90%,"406,743",18.20%,-17.80%,6.3,18.90%,-19.20%,"8,989,998","275,881","534,086","3,072,381","1,425,593","775,540","1,754,311","1,152,206"
Rhode Island,"1,095,610",4.10%,"414,730","571,034",5.6,"$64,376 ","$73,919 ",10.6,89.20%,35.00%,"463,775","$62,280 ",8.40%,"$64,456 ",3.20%,"$51,296 ",17.40%,"$56,386 ",5.50%,"$109,964 ","1,095,610","1,052,567","1,050,607","1,004,649","947,154",0.20%,4.80%,11.10%,890,615,"-2,250","9,717","11,967","54,688","150,756","110,984","270,761","288,123","182,486",40,"4,344","36,536","69,196",790,"835,608","52,321","889,791","168,007","44,611","110,341","755,708","168,007","10,956","2,099","414,730","257,849","67,364","117,355","38,016","35,114","156,881","126,890",2.4,"469,289","414,730","255,450","159,280","54,559","17,599","1,392","1,033",148,85,126,"$73,919 ","$42,305 ",74.70%,"$64,376 ","$44,201 ","$31,815 ","$20,419 ",45.60%,102.30%,215.30%,"$42,956,977 ","$5,405,420 ","$2,985,974 ","$2,419,446 ","$4,282,378 ","$41,833,935 ","$11,757,437 ","$16,940,088 ","$70,531,460 ",10.6,14.5,"571,034",3.20%,1.60%,"538,969",2.80%,7.80%,"32,065",11.40%,-48.20%,5.6,7.70%,-49.10%,"741,370","35,049","45,209","207,358","133,216","60,894","155,981","103,663"
South Carolina,"5,190,705",12.20%,"1,961,481","2,364,366",4,"$52,467 ","$57,216 ",13.8,88.30%,29.00%,"2,093,949","$52,295 ",11.90%,"$64,431 ",4.10%,"$49,910 ",13.40%,"$57,371 ",3.50%,"$83,710 ","5,190,705","4,625,364","4,024,082","3,499,064","3,120,737",14.90%,32.20%,48.20%,"64,833","3,138","-7,807","54,713","62,520","291,651","816,954","470,286","1,286,995","1,324,935","900,696",39.7,"16,951","83,573","1,346,560","3,633","3,386,329","151,711","4,794,620","296,897","37,458","96,611","3,230,111","296,897","152,356","10,472","1,961,481","1,280,623","314,381","608,919","176,956","180,367","680,858","571,147",2.5,"2,319,112","1,961,481","1,375,391","586,090","357,631","125,647","50,680","43,264",416,42,"6,958","$57,216 ","$37,283 ",53.50%,"$52,467 ","$34,479 ","$25,737 ","$16,495 ",52.20%,103.90%,218.10%,"$164,992,302 ","$19,570,225 ","$10,977,027 ","$8,593,198 ","$5,848,191 ","$151,270,268 ","$49,462,832 ","$71,606,449 ","$272,339,549 ",13.8,18.7,"2,364,366",3.40%,8.20%,"2,269,813",4.40%,16.00%,"94,553",-15.40%,-58.50%,4,-18.40%,-61.50%,"3,512,626","128,691","281,643","1,014,022","722,543","347,421","638,394","379,912"
South Dakota,"895,376",10.00%,"347,878","468,015",3.1,"$64,462 ","$61,149 ",11.6,92.20%,29.30%,"430,806","$51,254 ",10.20%,"$56,073 ",3.00%,"$50,409 ",17.10%,"$60,579 ",5.50%,"$77,985 ","895,376","814,180","755,707","696,667","690,768",7.70%,16.90%,17.90%,"5,564","1,039","1,668","10,843","9,175","60,019","155,728","83,345","219,561","213,852","146,831",37.2,"74,975","12,413","18,836",544,"735,228","30,020","843,248","36,088","2,797","10,823","715,328","36,088","22,056",412,"347,878","218,705","66,369","105,549","28,146","18,641","129,173","106,325",2.4,"396,817","347,878","236,495","111,383","48,939","15,144","7,917","4,324",144,274,"3,175","$61,149 ","$36,146 ",69.20%,"$64,462 ","$44,758 ","$27,645 ","$17,006 ",44.00%,133.20%,279.10%,"$38,919,395 ","$3,957,154 ","$2,250,754 ","$1,706,400 ","($209,904)","$34,752,337 ","$12,198,838 ","$10,766,579 ","$57,717,754 ",11.6,13.9,"468,015",2.80%,5.00%,"453,511",2.70%,6.60%,"14,504",5.80%,-29.20%,3.1,3.30%,-32.60%,"580,244","16,290","28,880","175,340","122,222","67,521","116,400","53,591"
Tennessee,"6,975,218",9.90%,"2,639,455","3,327,966",4.3,"$56,560 ","$56,962 ",13.6,88.20%,28.20%,"3,016,458","$59,147 ",11.60%,"$65,214 ",6.70%,"$64,658 ",13.90%,"$61,010 ",3.90%,"$104,678 ","6,975,218","6,346,105","5,703,129","4,890,626","4,591,023",11.30%,29.80%,38.20%,"61,390","1,751","-7,591","77,353","84,944","406,986","1,100,904","614,531","1,775,513","1,766,770","1,107,564",38.8,"17,178","122,897","1,128,806","3,959","5,196,680","198,988","6,395,106","377,162","33,547","104,486","4,969,371","377,162","227,090","12,039","2,639,455","1,726,939","458,907","812,055","235,461","220,516","912,516","754,164",2.5,"2,996,127","2,639,455","1,756,534","882,921","356,672","68,017","57,484","36,986",296,512,"19,690","$56,962 ","$35,760 ",59.30%,"$56,560 ","$37,727 ","$27,541 ","$17,318 ",49.90%,105.40%,226.60%,"$279,397,971 ","$28,769,151 ","$16,535,958 ","$12,233,193 ","($2,556,714)","$248,072,106 ","$54,568,033 ","$91,880,230 ","$394,520,369 ",13.6,18.4,"3,327,966",6.10%,6.80%,"3,185,263",6.60%,12.40%,"142,703",-4.00%,-49.80%,4.3,-8.50%,-52.70%,"4,649,847","196,509","351,224","1,479,648","964,332","349,162","826,947","482,025"
Texas,"29,527,941",17.40%,"9,906,070","14,220,446",5.7,"$59,865 ","$66,048 ",13.4,84.40%,30.70%,"12,526,068","$65,970 ",7.00%,"$83,487 ",5.00%,"$63,262 ",13.60%,"$56,909 ",4.70%,"$107,428 ","29,527,941","25,145,561","20,944,937","17,044,714","14,225,512",20.10%,47.50%,76.80%,"170,307","27,185","113,845","362,450","248,605","1,997,007","5,384,475","2,804,109","8,098,532","6,757,950","3,593,369",34.8,"137,921","1,415,664","3,464,424","25,328","19,805,623","1,998,084","17,341,185","11,294,257","217,113","1,446,771","11,850,477","11,294,257","9,530,419","99,954","9,906,070","6,838,900","2,209,145","2,765,443","980,993","883,319","3,067,170","2,507,455",2.8,"11,112,975","9,906,070","6,168,808","3,737,262","1,206,905","235,967","265,955","179,620","4,350","2,133","79,852","$66,048 ","$39,090 ",69.00%,"$59,865 ","$42,037 ","$29,644 ","$17,897 ",42.40%,101.90%,234.50%,"$1,221,380,863 ","$122,171,747 ","$66,219,528 ","$55,952,219 ","($2,173,771)","$1,097,035,345 ","$321,299,965 ","$349,346,377 ","$1,767,681,687 ",13.4,18.8,"14,220,446",6.50%,13.80%,"13,413,036",5.40%,16.60%,"807,410",30.70%,-19.30%,5.7,23.90%,-28.80%,"18,449,851","1,444,382","1,440,352","4,559,034","3,974,299","1,369,606","3,671,085","1,991,093"
Utah,"3,337,975",20.80%,"1,003,345","1,681,494",2.7,"$56,019 ","$77,785 ",7.3,93.00%,34.70%,"1,583,748","$57,837 ",9.10%,"$65,552 ",4.80%,"$54,833 ",11.60%,"$51,621 ",4.70%,"$94,727 ","3,337,975","2,763,885","2,244,207","1,729,722","1,461,037",23.20%,59.80%,89.20%,"32,200","1,180","22,992","45,159","22,167","248,602","678,967","355,198","897,396","622,066","349,010",31.1,"33,222","73,190","38,059","29,450","2,682,881","133,651","2,705,172","446,067","12,716","115,133","2,455,192","446,067","314,819","3,399","1,003,345","746,286","298,128","313,242","70,166","64,750","257,059","195,917",3,"1,110,369","1,003,345","707,663","295,682","107,024","53,007","39,058","24,423",480,879,"13,276","$77,785 ","$45,934 ",69.30%,"$56,019 ","$34,190 ","$24,925 ","$15,656 ",63.80%,124.80%,257.80%,"$135,242,519 ","$14,768,516 ","$7,869,186 ","$6,899,330 ","($142,949)","$120,331,054 ","$36,161,563 ","$30,497,910 ","$186,990,527 ",7.3,7.5,"1,681,494",12.10%,25.40%,"1,636,150",12.80%,31.20%,"45,344",-9.60%,-52.10%,2.7,-18.20%,-62.00%,"1,868,472","45,753","85,957","425,180","476,967","186,545","429,936","218,134"
Vermont,"645,570",3.20%,"262,852","328,216",3.4,"$61,882 ","$67,717 ",9.4,93.50%,39.70%,"291,662","$56,296 ",9.80%,"$64,097 ",3.00%,"$53,630 ",17.90%,"$56,337 ",2.90%,"$98,449 ","645,570","625,741","609,658","564,526","511,456",2.60%,10.80%,22.30%,"4,589",275,"-1,827","5,057","6,884","29,038","86,594","66,619","145,034","176,183","120,872",42.8,"1,873","10,126","7,964",205,"584,360","17,135","611,822","12,518","2,458","5,506","576,601","12,518","3,739",815,"262,852","157,105","40,563","83,544","18,651","14,347","105,747","80,826",2.2,"337,214","262,852","187,374","75,478","74,362","55,542","2,319","1,361",132,20,806,"$67,717 ","$40,537 ",67.00%,"$61,882 ","$43,982 ","$30,716 ","$18,465 ",40.70%,101.50%,235.10%,"$24,539,875 ","$2,909,764 ","$1,641,125 ","$1,268,639 ","$657,820 ","$22,287,931 ","$8,100,491 ","$9,560,994 ","$39,949,416 ",9.4,10,"328,216",-5.10%,-8.20%,"316,941",-5.40%,-6.20%,"11,275",4.30%,-43.30%,3.4,9.70%,-39.30%,"442,089","8,653","20,104","124,892","74,019","39,093","103,940","71,388"
Virginia,"8,642,274",8.00%,"3,184,121","4,267,656",3.9,"$66,305 ","$79,154 ",9.2,90.30%,39.50%,"3,838,861","$67,990 ",6.40%,"$66,008 ",4.10%,"$57,455 ",12.90%,"$58,497 ",3.70%,"$116,060 ","8,642,274","8,001,024","7,105,425","6,213,526","5,346,797",12.60%,28.80%,49.60%,"-8,995","10,930","8,340","93,037","84,697","508,122","1,360,475","808,812","2,291,318","2,226,286","1,314,345",38.4,"22,553","570,398","1,620,649","5,994","5,643,436","405,786","7,698,588","810,770","106,085","498,624","5,209,336","810,770","184,600","21,461","3,184,121","2,103,100","637,819","961,126","250,319","253,836","1,081,021","874,309",2.6,"3,537,788","3,184,121","2,123,771","1,060,350","353,667","82,998","39,388","25,118",502,156,"13,612","$79,154 ","$46,789 ",69.20%,"$66,305 ","$47,608 ","$34,001 ","$21,431 ",39.30%,95.00%,209.40%,"$381,690,894 ","$43,248,250 ","$23,389,377 ","$19,858,873 ","$19,307,384 ","$357,750,028 ","$108,891,172 ","$106,386,716 ","$573,027,916 ",9.2,12.2,"4,267,656",0.30%,1.50%,"4,100,803",0.40%,4.40%,"166,853",-1.60%,-39.60%,3.9,-2.50%,-40.90%,"5,831,949","226,926","336,675","1,392,823","1,111,802","459,233","1,304,079","1,000,411"
Washington,"7,738,692",15.10%,"2,905,822","3,913,513",5.2,"$73,775 ","$80,319 ",9.5,91.70%,36.70%,"3,352,607","$82,477 ",8.10%,"$83,449 ",4.10%,"$71,462 ",14.70%,"$62,518 ",2.90%,"$124,507 ","7,738,692","6,724,540","5,911,439","4,900,780","4,132,353",13.80%,37.20%,62.70%,-29,"9,233","10,357","81,193","70,836","454,612","1,198,857","659,225","2,150,394","1,888,773","1,160,604",37.8,"91,766","662,902","290,245","51,117","5,523,881","531,976","6,540,943","971,522","38,204","161,876","5,067,909","971,522","760,663","10,779","2,905,822","1,874,376","581,153","875,089","220,662","197,472","1,031,446","775,608",2.5,"3,150,194","2,905,822","1,838,059","1,067,763","244,372","91,085","56,941","25,076","1,534","1,486","28,845","$80,319 ","$44,846 ",79.10%,"$73,775 ","$44,225 ","$33,084 ","$21,129 ",66.80%,123.00%,249.20%,"$392,581,079 ","$44,402,855 ","$22,288,287 ","$22,114,568 ","$5,165,600 ","$353,343,824 ","$114,052,054 ","$103,524,923 ","$570,920,801 ",9.5,11,"3,913,513",7.30%,13.80%,"3,708,738",7.20%,17.90%,"204,775",8.30%,-30.20%,5.2,0.00%,-38.80%,"5,199,771","181,372","250,031","1,133,689","1,201,507","525,934","1,183,949","723,289"
West Virginia,"1,782,959",-3.80%,"734,235","788,826",5,"$48,488 ","$49,202 ",15.8,87.60%,21.30%,"657,805","$50,498 ",6.90%,"$65,161 ",4.10%,"$52,026 ",20.60%,"$54,197 ",2.80%,"$65,787 ","1,782,959","1,852,994","1,806,694","1,792,481","1,950,183",2.60%,3.40%,-5.00%,"2,343",556,"-9,870","17,232","27,102","95,692","269,525","158,340","431,630","491,993","360,246",42.7,"3,146","14,228","64,285",474,"1,672,255","43,760","1,778,747","28,679","6,122","9,759","1,654,681","28,679","11,650","1,148","734,235","470,391","113,907","241,773","55,676","59,035","263,844","221,708",2.4,"893,615","734,235","540,786","193,449","159,380","40,579","3,692","3,112",84,18,478,"$49,202 ","$30,187 ",63.00%,"$48,488 ","$34,581 ","$23,754 ","$15,182 ",40.20%,104.10%,219.40%,"$48,098,879 ","$6,098,017 ","$3,439,373 ","$2,658,644 ","$2,342,813 ","$44,343,675 ","$12,817,678 ","$29,290,419 ","$86,451,772 ",15.8,20.3,"788,826",0.50%,-2.20%,"749,132",1.60%,0.80%,"39,694",-17.10%,-37.20%,5,-18.00%,-35.90%,"1,283,869","52,129","106,902","513,143","240,530","97,740","163,598","109,827"
Wisconsin,"5,895,908",3.70%,"2,377,935","3,134,439",3.8,"$59,626 ","$64,901 ",10,92.60%,30.80%,"2,800,269","$56,350 ",16.60%,"$64,380 ",4.30%,"$50,200 ",15.20%,"$56,048 ",4.40%,"$90,260 ","5,895,908","5,686,986","5,373,849","4,902,265","4,705,642",5.80%,16.00%,20.90%,"3,307","2,268","-2,581","60,404","62,985","331,066","943,255","550,536","1,441,702","1,557,617","982,799",39.6,"48,674","163,396","367,889","2,672","4,895,065","194,564","5,398,708","408,267","61,167","51,702","4,681,072","408,267","289,231","6,167","2,377,935","1,479,364","416,297","732,302","197,859","132,906","898,571","715,748",2.3,"2,709,444","2,377,935","1,596,500","781,435","331,509","191,920","25,444","13,199","1,450",103,"10,692","$64,901 ","$44,503 ",45.80%,"$59,626 ","$41,209 ","$30,841 ","$18,936 ",44.70%,93.30%,214.90%,"$233,866,477 ","$26,640,363 ","$14,691,685 ","$11,948,678 ","$4,250,805 ","$211,476,919 ","$63,336,498 ","$76,737,903 ","$351,551,320 ",10,12.4,"3,134,439",0.80%,2.00%,"3,016,039",0.90%,6.20%,"118,400",-2.70%,-49.00%,3.8,-2.60%,-50.00%,"3,982,118","100,347","194,860","1,205,321","817,098","437,945","806,518","420,029"
Wyoming,"578,803",2.70%,"233,231","290,404",4.5,"$69,666 ","$67,284 ",9.2,93.60%,28.20%,"265,713","$53,022 ",3.70%,"$69,585 ",4.30%,"$57,116 ",13.50%,"$55,231 ",2.70%,"$87,100 ","578,803","563,626","493,980","453,401","469,557",14.10%,24.30%,20.00%,"1,252",116,171,"6,213","6,042","35,436","99,364","53,729","151,904","145,349","95,566",38,"13,117","4,892","5,079",589,"525,246","22,718","522,494","58,854","1,302","12,007","485,816","58,854","45,354",191,"233,231","149,353","45,477","75,689","17,327","10,860","83,878","67,178",2.4,"278,495","233,231","165,530","67,701","45,264","15,888","2,706","2,158",96,165,287,"$67,284 ","$38,934 ",72.80%,"$69,666 ","$50,783 ","$31,347 ","$18,818 ",37.20%,122.20%,270.20%,"$24,273,866 ","$2,869,571 ","$1,419,900 ","$1,449,671 ","($350,322)","$21,053,973 ","$12,168,046 ","$7,100,812 ","$40,322,831 ",9.2,10.3,"290,404",-3.40%,-4.10%,"277,372",-2.50%,-2.40%,"13,032",-19.10%,-30.20%,4.5,-16.70%,-27.40%,"392,819","7,050","18,151","112,183","99,792","44,944","69,396","41,303"
